title,raw_bytes,ednotes,defect,non_defect,defect_pct_of_ednotes,defect_section_level,defect_not_section_level,defect_with_fr,defect_without_fr,usable_section_and_fr
1,484392,0,0,0,0.0,0,0,0,0,0
2,2880742,1,0,1,0.0,0,0,0,0,0
3,32603,0,0,0,0.0,0,0,0,0,0
4,414435,2,0,2,0.0,0,0,0,0,0
5,11778895,31,2,29,6.45,2,0,2,0,2
6,1997515,2,0,2,0.0,0,0,0,0,0
7,41335479,156,11,145,7.05,10,1,11,0,10
8,5438166,48,0,48,0.0,0,0,0,0,0
9,7570716,58,1,57,1.72,1,0,1,0,1
10,20947190,71,2,69,2.82,1,1,2,0,1
11,1673499,2,0,2,0.0,0,0,0,0,0
12,39400530,56,7,49,12.5,6,1,7,0,6
13,4078783,11,2,9,18.18,2,0,2,0,2
14,16130573,65,2,63,3.08,0,2,2,0,0
15,13715126,41,4,37,9.76,2,2,4,0,2
16,6769437,9,0,9,0.0,0,0,0,0,0
17,17356007,212,5,207,2.36,5,0,5,0,5
18,7312532,34,0,34,0.0,0,0,0,0,0
19,10695340,70,4,66,5.71,3,1,4,0,3
20,14655918,10,0,10,0.0,0,0,0,0,0
21,21695581,126,2,124,1.59,2,0,2,0,2
22,6791558,28,0,28,0.0,0,0,0,0,0
23,3280794,4,0,4,0.0,0,0,0,0,0
24,12499434,15,0,15,0.0,0,0,0,0,0
25,6127391,3,0,3,0.0,0,0,0,0,0
26,88044351,96,10,86,10.42,10,0,10,0,10
27,7347407,64,0,64,0.0,0,0,0,0,0
28,10864089,23,0,23,0.0,0,0,0,0,0
29,28892286,21,1,20,4.76,1,0,1,0,1
30,10357277,36,2,34,5.56,2,0,2,0,2
31,10097526,12,1,11,8.33,1,0,1,0,1
32,12922239,9,1,8,11.11,1,0,1,0,1
33,12131045,64,2,62,3.12,1,1,2,0,1
34,9430495,22,2,20,9.09,2,0,2,0,2
36,8132693,10,2,8,20.0,0,2,2,0,0
37,4688830,25,0,25,0.0,0,0,0,0,0
38,9821997,33,0,33,0.0,0,0,0,0,0
39,2309194,3,0,3,0.0,0,0,0,0,0
40,161190197,342,12,330,3.51,7,5,12,0,7
41,4111081,5,0,5,0.0,0,0,0,0,0
42,22880997,66,5,61,7.58,5,0,5,0,5
43,8970673,6,1,5,16.67,1,0,1,0,1
44,2381401,8,0,8,0.0,0,0,0,0,0
45,14196209,25,3,22,12.0,3,0,3,0,3
46,15991615,72,4,68,5.56,3,1,4,0,3
47,20029052,90,8,82,8.89,8,0,7,1,7
48,20440201,89,5,84,5.62,4,1,5,0,4
49,33788779,167,5,162,2.99,3,2,5,0,3
50,30206782,85,1,84,1.18,0,1,1,0,0
