run_id,arm,item_id,model,input_tokens,output_tokens,wall_clock_s,imputed_usd
probe-model-id__claude-haiku-4-5__20260830T203736,probe-model-id,claude-haiku-4-5,claude-haiku-4-5,14,4,1.078,0.000034
probe-model-id__claude-haiku-4-5-20251001__20260830T203737,probe-model-id,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,14,4,0.875,0.000034
probe-model-id__claude-sonnet-5__20260830T203738,probe-model-id,claude-sonnet-5,claude-sonnet-5,,,0.61,
probe-model-id__claude-haiku-4-5__20260830T203743,probe-model-id,claude-haiku-4-5,claude-haiku-4-5,14,4,0.938,0.000034
probe-model-id__claude-haiku-4-5-20251001__20260830T203744,probe-model-id,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,14,4,1.032,0.000034
probe-model-id__claude-sonnet-5__20260830T203745,probe-model-id,claude-sonnet-5,claude-sonnet-5,,,0.547,
probe-model-id__claude-haiku-4-5-t0.0__20260830T203835,probe-model-id,claude-haiku-4-5-t0.0,claude-haiku-4-5,14,4,3.641,0.000034
probe-model-id__claude-haiku-4-5-20251001-t0.0__20260830T203838,probe-model-id,claude-haiku-4-5-20251001-t0.0,claude-haiku-4-5-20251001,14,4,0.86,0.000034
probe-model-id__claude-sonnet-5-t0.0__20260830T203839,probe-model-id,claude-sonnet-5-t0.0,claude-sonnet-5,,,0.594,
probe-model-id__claude-sonnet-5-tNone__20260830T203840,probe-model-id,claude-sonnet-5-tNone,claude-sonnet-5,18,4,1.515,0.000076
